YYMM,TRANS_COUNT,SPEND_AMOUNT
1901,421226.87,36014223.550000004
1902,824510.7100000001,70283778.98000002
1903,1292485.55,110556492.61
1904,1737408.65,148457675.23000002
1905,2195864.33,187495151.87
1906,2648987.74,226364659.39
1907,3121697.9200000004,266618723.34
1908,3632203.3600000003,310577788.76
1909,4158766.1700000004,355381835.07
1910,4701566.23,402599678.19
1911,5267922.869999999,451129482.1
1912,5856197.23,502752237.57
2001,636215.88,55964999.32
2002,1275549.4799999997,112987623.95
2003,2449854.2800000003,225530670.24
2004,4834433.76,479157858.09999996
2005,6922321.49,701478928.69
2006,8639259.18,880767321.3
2007,10536575.650000002,1073511045.1500001
2008,12355958.34,1256124460.92
2009,14029983.07,1422116301.0800002
2010,15796435.950000001,1597145826.3200002
2011,17723375.0,1783066995.5800004
2012,19934586.549999997,1999427277.42
2101,2341059.68,232401542.57
2102,4352393.569999999,428851652.34
2103,6455824.410000001,632822430.56
2104,8421219.14,822347436.03
2105,10332587.16,1006619551.5
2106,12082069.02,1173212417.9700003
2107,13935424.049999999,1344225819.1799998
2108,15988170.16,1531058319.74
2109,17948648.85,1708131563.17
2110,19979095.660000004,1893365324.2299995
2111,21939055.980000004,2067443986.06
2112,24123341.78,2260363951.37
2201,2553793.77,222757236.75
2202,4609728.129999999,406482806.84999996
2203,6767337.15,599773433.56
2204,8919294.2,791602376.05
2205,11150487.11,991991574.13
2206,13227507.34,1177747179.9299998
2207,15410527.530000001,1370640118.82
2208,17539546.78,1560802294.3600001
2209,19600372.0,1744804364.71
2210,21707780.81,1934738181.1
2211,23808549.490000002,2115332919.1100001
2212,25979354.19,2310774731.83
2301,2095764.32,191710043.59000003
2302,4012284.08,365162607.97
2303,6068764.49,553244041.58
2304,8055797.300000001,736414672.01
2305,10069674.78,921565837.26
2306,11983877.61,1099049811.38
2307,13966298.95,1280660230.42
2308,15917719.24,1459418174.3200002
2309,17832065.89,1634065277.5100002
2310,19804633.55,1814400854.3200002
2311,21731605.45,1984175343.27
2312,23878327.159999996,2172426759.9300003
2401,2171331.4799999995,190797936.88
2402,4284347.670000001,369763433.54999995
2403,6573711.709999999,562089395.38
2404,8707871.43,746138659.81
2405,10927389.39,933979840.96
2406,13076482.14,1115683323.44
2407,15278181.07,1298635619.68
2408,17490054.07,1483078302.21
2409,19635511.36,1663190822.77
2410,21861796.46,1844009202.23
2411,24135629.22,2020305029.1599998
2412,26658799.73,2213055689.33
2501,2589203.89,195811959.39000005
2502,5005061.02,375698612.35
2503,7608188.68,572576168.0799999
2504,10046875.71,756285103.87
2505,12513771.97,947629128.4300001
2506,14867085.329999998,1132852891.51
2507,17220195.79,1317971316.69
2508,19576187.47,1506360743.0500002
